assignment_id,student_id,subject,total_assignments,submitted_assignments,completion_percentage,average_assignment_score
ASG00001,STU00001,Big Data Analytics,11,7,63.64,35.12
ASG00002,STU00001,Computer Networks,12,4,33.33,37.29
ASG00003,STU00001,Database Management,11,7,63.64,53.18
ASG00004,STU00001,Machine Learning,8,5,62.5,54.58
ASG00005,STU00001,Operating Systems,8,7,87.5,51.46
ASG00006,STU00002,Big Data Analytics,12,5,41.67,66.53
ASG00007,STU00002,Computer Networks,9,5,55.56,70.49
ASG00008,STU00002,Database Management,11,10,90.91,71.37
ASG00009,STU00002,Machine Learning,8,3,37.5,86.91
ASG00010,STU00002,Operating Systems,11,5,45.45,39.83
ASG00011,STU00003,Big Data Analytics,8,8,100.0,97.05
ASG00012,STU00003,Computer Networks,8,3,37.5,40.2
ASG00013,STU00003,Database Management,12,6,50.0,84.96
ASG00014,STU00003,Machine Learning,8,7,87.5,71.24
ASG00015,STU00003,Operating Systems,11,9,81.82,36.66
ASG00016,STU00004,Big Data Analytics,9,8,88.89,50.34
ASG00017,STU00004,Computer Networks,12,9,75.0,74.64
ASG00018,STU00004,Database Management,12,5,41.67,61.42
ASG00019,STU00004,Machine Learning,11,6,54.55,69.13
ASG00020,STU00004,Operating Systems,9,8,88.89,50.53
ASG00021,STU00005,Big Data Analytics,11,5,45.45,93.66
ASG00022,STU00005,Computer Networks,8,4,50.0,85.47
ASG00023,STU00005,Database Management,10,3,30.0,95.03
ASG00024,STU00005,Machine Learning,8,6,75.0,89.8
ASG00025,STU00005,Operating Systems,11,4,36.36,71.14
ASG00026,STU00006,Big Data Analytics,11,3,27.27,72.54
ASG00027,STU00006,Computer Networks,10,10,100.0,37.46
ASG00028,STU00006,Database Management,11,7,63.64,73.96
ASG00029,STU00006,Machine Learning,9,7,77.78,88.25
ASG00030,STU00006,Operating Systems,10,5,50.0,35.63
ASG00031,STU00007,Big Data Analytics,8,7,87.5,86.86
ASG00032,STU00007,Computer Networks,10,3,30.0,66.7
ASG00033,STU00007,Database Management,11,3,27.27,38.53
ASG00034,STU00007,Machine Learning,10,7,70.0,76.6
ASG00035,STU00007,Operating Systems,8,7,87.5,78.2
ASG00036,STU00008,Big Data Analytics,10,6,60.0,68.46
ASG00037,STU00008,Computer Networks,9,8,88.89,50.83
ASG00038,STU00008,Database Management,8,4,50.0,52.22
ASG00039,STU00008,Machine Learning,11,3,27.27,69.76
ASG00040,STU00008,Operating Systems,12,9,75.0,46.88
ASG00041,STU00009,Big Data Analytics,8,4,50.0,95.04
ASG00042,STU00009,Computer Networks,8,8,100.0,38.28
ASG00043,STU00009,Database Management,10,8,80.0,54.51
