student_id,subject,total_classes,attended_classes,attendance_percentage
STU00001,Big Data Analytics,46,25,54.35
STU00001,Computer Networks,39,26,66.67
STU00001,Database Management,44,33,75.0
STU00001,Machine Learning,44,44,100.0
STU00001,Operating Systems,39,36,92.31
STU00002,Big Data Analytics,50,42,84.0
STU00002,Computer Networks,38,23,60.53
STU00002,Database Management,38,23,60.53
STU00002,Machine Learning,36,26,72.22
STU00002,Operating Systems,37,25,67.57
STU00003,Big Data Analytics,37,25,67.57
STU00003,Computer Networks,37,28,75.68
STU00003,Database Management,38,33,86.84
STU00003,Machine Learning,50,28,56.0
STU00003,Operating Systems,38,32,84.21
STU00004,Big Data Analytics,37,18,48.65
STU00004,Computer Networks,35,29,82.86
STU00004,Database Management,49,34,69.39
STU00004,Machine Learning,49,40,81.63
STU00004,Operating Systems,44,38,86.36
STU00005,Big Data Analytics,42,38,90.48
STU00005,Computer Networks,49,24,48.98
STU00005,Database Management,42,37,88.1
STU00005,Machine Learning,47,25,53.19
STU00005,Operating Systems,45,34,75.56
STU00006,Big Data Analytics,47,38,80.85
STU00006,Computer Networks,36,26,72.22
STU00006,Database Management,50,47,94.0
STU00006,Machine Learning,36,28,77.78
STU00006,Operating Systems,44,36,81.82
STU00007,Big Data Analytics,42,39,92.86
STU00007,Computer Networks,37,18,48.65
STU00007,Database Management,38,32,84.21
STU00007,Machine Learning,43,40,93.02
STU00007,Operating Systems,41,40,97.56
STU00008,Big Data Analytics,42,26,61.9
STU00008,Computer Networks,49,33,67.35
STU00008,Database Management,43,41,95.35
STU00008,Machine Learning,45,33,73.33
STU00008,Operating Systems,45,44,97.78
STU00009,Big Data Analytics,37,30,81.08
STU00009,Computer Networks,36,32,88.89
STU00009,Database Management,46,37,80.43
STU00009,Machine Learning,47,44,93.62
STU00009,Operating Systems,36,28,77.78
STU00010,Big Data Analytics,46,44,95.65
STU00010,Computer Networks,47,38,80.85
STU00010,Database Management,40,37,92.5
STU00010,Machine Learning,46,38,82.61
STU00010,Operating Systems,45,45,100.0
STU00011,Big Data Analytics,40,33,82.5
STU00011,Computer Networks,47,28,59.57
STU00011,Database Management,39,31,79.49
STU00011,Machine Learning,37,36,97.3
STU00011,Operating Systems,41,30,73.17
STU00012,Big Data Analytics,36,22,61.11
STU00012,Computer Networks,43,33,76.74
STU00012,Database Management,46,34,73.91
STU00012,Machine Learning,37,32,86.49
STU00012,Operating Systems,39,38,97.44
STU00013,Big Data Analytics,41,24,58.54
STU00013,Computer Networks,40,25,62.5
