activity_id,student_id,activity_date,login_count,video_minutes,resources_viewed,quiz_attempts,forum_posts,session_minutes
LMS000001,STU00001,2026-05-10,6,146,0,5,4,89
LMS000002,STU00001,2026-03-20,7,114,13,4,1,63
LMS000003,STU00001,2026-05-30,0,95,11,5,5,137
LMS000004,STU00001,2026-02-19,0,32,5,0,4,27
LMS000005,STU00001,2026-03-25,4,157,12,1,2,96
LMS000006,STU00001,2026-03-27,1,33,5,2,1,11
LMS000007,STU00001,2026-02-14,7,22,12,5,5,224
LMS000008,STU00001,2026-04-24,1,163,4,5,0,164
LMS000009,STU00001,2026-02-19,1,94,6,0,3,220
LMS000010,STU00001,2026-04-15,4,90,6,2,3,175
LMS000011,STU00001,2026-02-15,8,101,15,2,5,71
LMS000012,STU00001,2026-05-02,4,21,10,4,2,101
LMS000013,STU00001,2026-05-31,6,43,13,2,5,30
LMS000014,STU00001,2026-01-08,0,120,1,2,3,110
LMS000015,STU00001,2026-03-25,8,170,14,1,4,138
LMS000016,STU00001,2026-01-09,6,170,13,0,0,207
LMS000017,STU00001,2026-03-26,4,74,2,0,0,215
LMS000018,STU00001,2026-01-01,4,126,15,3,1,222
LMS000019,STU00001,2026-04-06,8,59,10,2,5,195
LMS000020,STU00001,2026-01-01,8,56,15,0,0,231
LMS000021,STU00002,2026-04-02,5,85,5,5,1,43
LMS000022,STU00002,2026-05-13,2,75,5,4,3,197
LMS000023,STU00002,2026-01-02,8,148,1,1,2,190
LMS000024,STU00002,2026-02-03,2,39,6,0,0,162
LMS000025,STU00002,2026-03-24,8,58,8,5,2,22
LMS000026,STU00002,2026-04-27,2,173,5,1,5,198
LMS000027,STU00002,2026-02-17,1,57,9,1,2,172
LMS000028,STU00002,2026-05-28,2,6,0,3,3,113
LMS000029,STU00002,2026-03-05,1,103,8,1,0,17
LMS000030,STU00002,2026-03-06,3,56,4,3,1,138
LMS000031,STU00002,2026-04-04,4,161,2,3,4,192
LMS000032,STU00002,2026-05-15,7,133,13,2,1,197
LMS000033,STU00002,2026-04-11,1,34,1,5,5,231
LMS000034,STU00002,2026-03-10,4,179,3,1,1,78
LMS000035,STU00002,2026-04-13,1,16,7,0,0,121
LMS000036,STU00002,2026-02-09,6,115,0,5,5,196
LMS000037,STU00002,2026-02-24,2,103,11,1,4,36
LMS000038,STU00002,2026-05-14,1,108,8,3,3,165
LMS000039,STU00002,2026-06-15,5,155,7,5,4,210
LMS000040,STU00002,2026-01-31,6,145,0,1,5,226
LMS000041,STU00003,2026-02-09,4,0,6,1,0,83
LMS000042,STU00003,2026-01-08,7,73,11,5,5,122
LMS000043,STU00003,2026-06-10,5,21,10,3,1,169
LMS000044,STU00003,2026-06-22,0,57,10,1,0,177
LMS000045,STU00003,2026-01-01,0,63,4,1,2,234
LMS000046,STU00003,2026-02-26,7,5,8,2,1,51
LMS000047,STU00003,2026-02-27,3,55,2,3,2,140
LMS000048,STU00003,2026-03-29,6,29,14,1,2,117
LMS000049,STU00003,2026-02-20,1,88,12,3,3,118
LMS000050,STU00003,2026-06-25,1,46,10,4,5,92
LMS000051,STU00003,2026-05-08,7,121,11,0,3,40
LMS000052,STU00003,2026-03-05,2,92,13,0,1,30
LMS000053,STU00003,2026-04-25,5,16,11,1,1,126
LMS000054,STU00003,2026-06-22,3,40,12,1,2,197
LMS000055,STU00003,2026-03-08,8,10,5,1,1,2
LMS000056,STU00003,2026-05-07,6,131,9,3,3,77
LMS000057,STU00003,2026-03-21,5,140,3,3,2,149
LMS000058,STU00003,2026-05-25,2,180,14,0,2,9
LMS000059,STU00003,2026-03-22,3,173,9,3,5,33
LMS000060,STU00003,2026-06-28,1,156,3,3,0,151
LMS000061,STU00004,2026-01-28,7,90,13,2,5,139
LMS000062,STU00004,2026-03-11,3,27,4,0,0,42
