student_id,subject,internal_marks,midterm_marks,final_exam_marks,total_marks,grade
STU00001,Big Data Analytics,36,17,22,75,B
STU00001,Computer Networks,39,29,30,98,A
STU00001,Database Management,20,17,20,57,C
STU00001,Machine Learning,29,21,20,70,B
STU00001,Operating Systems,22,30,24,76,B
STU00002,Big Data Analytics,25,23,24,72,B
STU00002,Computer Networks,36,19,22,77,B
STU00002,Database Management,30,29,24,83,B
STU00002,Machine Learning,26,16,26,68,C
STU00002,Operating Systems,27,16,26,69,C
STU00003,Big Data Analytics,25,21,26,72,B
STU00003,Computer Networks,32,21,28,81,B
STU00003,Database Management,30,21,29,80,B
STU00003,Machine Learning,35,19,24,78,B
STU00003,Operating Systems,29,16,29,74,B
STU00004,Big Data Analytics,34,25,24,83,B
STU00004,Computer Networks,28,17,26,71,B
STU00004,Database Management,20,22,26,68,C
STU00004,Machine Learning,34,28,27,89,A
STU00004,Operating Systems,32,19,24,75,B
STU00005,Big Data Analytics,23,20,30,73,B
STU00005,Computer Networks,24,27,28,79,B
STU00005,Database Management,24,18,27,69,C
STU00005,Machine Learning,23,20,28,71,B
STU00005,Operating Systems,22,16,30,68,C
STU00006,Big Data Analytics,35,19,25,79,B
STU00006,Computer Networks,29,21,27,77,B
STU00006,Database Management,34,24,21,79,B
STU00006,Machine Learning,27,22,23,72,B
STU00006,Operating Systems,39,22,30,91,A
STU00007,Big Data Analytics,36,15,22,73,B
STU00007,Computer Networks,40,22,28,90,A
STU00007,Database Management,20,24,20,64,C
STU00007,Machine Learning,20,19,23,62,C
STU00007,Operating Systems,31,19,22,72,B
STU00008,Big Data Analytics,33,22,20,75,B
STU00008,Computer Networks,32,21,23,76,B
STU00008,Database Management,39,18,23,80,B
STU00008,Machine Learning,26,22,24,72,B
STU00008,Operating Systems,24,27,27,78,B
STU00009,Big Data Analytics,26,19,26,71,B
STU00009,Computer Networks,26,23,23,72,B
STU00009,Database Management,32,27,22,81,B
STU00009,Machine Learning,37,28,20,85,A
STU00009,Operating Systems,22,29,23,74,B
STU00010,Big Data Analytics,26,19,22,67,C
STU00010,Computer Networks,35,22,20,77,B
STU00010,Database Management,39,24,22,85,A
STU00010,Machine Learning,31,16,29,76,B
STU00010,Operating Systems,27,22,27,76,B
STU00011,Big Data Analytics,28,26,25,79,B
STU00011,Computer Networks,39,19,28,86,A
STU00011,Database Management,37,19,29,85,A
STU00011,Machine Learning,26,18,29,73,B
STU00011,Operating Systems,37,20,30,87,A
STU00012,Big Data Analytics,31,23,22,76,B
STU00012,Computer Networks,28,17,30,75,B
STU00012,Database Management,23,22,20,65,C
STU00012,Machine Learning,28,28,26,82,B
STU00012,Operating Systems,25,28,22,75,B
STU00013,Big Data Analytics,30,22,24,76,B
STU00013,Computer Networks,32,15,25,72,B
STU00013,Database Management,24,19,29,72,B
STU00013,Machine Learning,28,22,28,78,B
STU00013,Operating Systems,33,15,22,70,B
STU00014,Big Data Analytics,20,23,23,66,C
STU00014,Computer Networks,21,20,27,68,C
STU00014,Database Management,20,19,23,62,C
STU00014,Machine Learning,39,16,20,75,B
STU00014,Operating Systems,20,21,28,69,C
STU00015,Big Data Analytics,33,26,21,80,B
STU00015,Computer Networks,35,24,21,80,B
STU00015,Database Management,36,19,25,80,B
STU00015,Machine Learning,25,26,20,71,B
STU00015,Operating Systems,36,28,21,85,A
STU00016,Big Data Analytics,28,30,24,82,B
STU00016,Computer Networks,26,18,22,66,C
STU00016,Database Management,27,30,26,83,B
STU00016,Machine Learning,40,22,26,88,A
STU00016,Operating Systems,39,29,24,92,A
STU00017,Big Data Analytics,37,30,26,93,A
STU00017,Computer Networks,25,28,25,78,B
STU00017,Database Management,26,28,24,78,B
STU00017,Machine Learning,35,15,22,72,B
STU00017,Operating Systems,24,16,20,60,C
STU00018,Big Data Analytics,20,16,26,62,C
STU00018,Computer Networks,34,30,28,92,A
STU00018,Database Management,20,15,20,55,C
STU00018,Machine Learning,31,26,27,84,B
STU00018,Operating Systems,37,22,21,80,B
STU00019,Big Data Analytics,37,16,20,73,B
STU00019,Computer Networks,35,21,22,78,B
STU00019,Database Management,39,25,29,93,A
STU00019,Machine Learning,29,16,25,70,B
STU00019,Operating Systems,40,24,22,86,A
STU00020,Big Data Analytics,37,17,22,76,B
STU00020,Computer Networks,28,19,27,74,B
STU00020,Database Management,25,20,22,67,C
STU00020,Machine Learning,31,28,28,87,A
STU00020,Operating Systems,33,23,28,84,B
STU00021,Big Data Analytics,24,18,21,63,C
STU00021,Computer Networks,38,17,26,81,B
STU00021,Database Management,28,27,23,78,B
STU00021,Machine Learning,22,25,27,74,B
STU00021,Operating Systems,35,24,23,82,B
STU00022,Big Data Analytics,26,21,29,76,B
STU00022,Computer Networks,33,22,26,81,B
STU00022,Database Management,32,22,23,77,B
STU00022,Machine Learning,24,18,25,67,C
STU00022,Operating Systems,21,29,25,75,B
STU00023,Big Data Analytics,39,22,20,81,B
STU00023,Computer Networks,35,21,20,76,B
STU00023,Database Management,40,28,25,93,A
STU00023,Machine Learning,34,19,26,79,B
STU00023,Operating Systems,25,24,22,71,B
STU00024,Big Data Analytics,31,23,30,84,B
STU00024,Computer Networks,24,29,28,81,B
STU00024,Database Management,26,22,21,69,C
STU00024,Machine Learning,39,20,20,79,B
STU00024,Operating Systems,31,19,26,76,B
STU00025,Big Data Analytics,23,20,21,64,C
STU00025,Computer Networks,26,19,30,75,B
STU00025,Database Management,36,25,25,86,A
STU00025,Machine Learning,29,26,22,77,B
STU00025,Operating Systems,36,29,26,91,A
STU00026,Big Data Analytics,38,24,27,89,A
STU00026,Computer Networks,22,29,23,74,B
STU00026,Database Management,31,16,24,71,B
STU00026,Machine Learning,29,27,22,78,B
STU00026,Operating Systems,23,23,30,76,B
STU00027,Big Data Analytics,33,20,27,80,B
STU00027,Computer Networks,29,17,22,68,C
STU00027,Database Management,39,23,25,87,A
STU00027,Machine Learning,40,24,30,94,A
STU00027,Operating Systems,38,20,21,79,B
STU00028,Big Data Analytics,21,30,28,79,B
STU00028,Computer Networks,38,30,22,90,A
