record_id,student_id,study_date,study_hours,sleep_hours,library_hours,self_study_hours,distraction_hours,practice_questions,study_consistency
SB000001,STU00001,2026-02-11,5.61,6.45,1.49,2.38,1.18,12,2
SB000002,STU00001,2026-05-23,7.75,6.68,0.66,1.28,3.13,12,4
SB000003,STU00001,2026-03-31,6.24,4.7,1.73,1.14,3.47,28,3
SB000004,STU00001,2026-05-28,7.2,6.46,3.49,5.87,0.34,17,6
SB000005,STU00001,2026-04-11,1.06,5.06,4.18,4.77,2.0,21,9
SB000006,STU00001,2026-04-19,3.97,5.71,0.31,3.97,0.25,42,10
SB000007,STU00001,2026-03-23,0.86,7.18,3.1,0.57,0.42,25,5
SB000008,STU00001,2026-03-18,1.46,5.46,3.35,2.23,3.31,17,5
SB000009,STU00001,2026-05-01,0.52,6.27,3.33,3.24,0.22,0,7
SB000010,STU00001,2026-06-03,6.85,8.69,4.9,2.55,2.52,28,8
SB000011,STU00002,2026-03-20,1.17,6.0,0.42,5.27,0.83,15,8
SB000012,STU00002,2026-05-10,1.08,8.75,3.35,1.23,1.92,10,2
SB000013,STU00002,2026-06-03,7.39,7.09,3.66,5.61,3.75,23,1
SB000014,STU00002,2026-03-31,0.93,5.12,3.6,2.9,1.94,4,2
SB000015,STU00002,2026-06-18,7.49,8.7,2.04,2.14,2.6,15,8
SB000016,STU00002,2026-02-27,7.82,8.12,0.37,3.67,1.32,48,7
SB000017,STU00002,2026-03-14,6.59,4.82,2.48,1.34,1.2,19,4
SB000018,STU00002,2026-04-15,1.46,6.05,3.66,5.95,2.22,4,6
SB000019,STU00002,2026-04-20,5.63,7.81,1.24,2.56,1.18,49,8
SB000020,STU00002,2026-06-18,4.06,8.19,2.15,3.67,3.89,33,7
SB000021,STU00003,2026-03-05,6.58,6.75,1.57,3.12,1.62,39,4
SB000022,STU00003,2026-06-01,4.52,6.26,4.69,2.9,3.95,11,9
SB000023,STU00003,2026-02-28,0.65,6.25,1.67,4.35,4.87,48,1
SB000024,STU00003,2026-06-24,2.74,8.43,2.58,4.56,4.11,32,2
SB000025,STU00003,2026-02-18,5.07,6.17,4.91,4.82,2.39,9,2
SB000026,STU00003,2026-04-18,1.37,8.95,2.25,2.18,2.88,0,7
SB000027,STU00003,2026-03-05,7.97,6.11,0.21,1.84,0.98,43,3
SB000028,STU00003,2026-01-12,2.1,7.64,4.94,0.64,2.54,21,4
SB000029,STU00003,2026-01-05,1.54,8.51,1.31,3.72,0.14,49,1
SB000030,STU00003,2026-03-17,4.1,5.47,0.63,2.47,4.43,17,8
SB000031,STU00004,2026-02-17,3.82,4.61,1.35,5.85,1.66,20,7
SB000032,STU00004,2026-03-11,4.53,6.79,3.09,2.48,4.65,40,3
SB000033,STU00004,2026-01-28,4.57,5.89,0.33,2.77,3.44,29,5
SB000034,STU00004,2026-03-02,7.18,4.52,1.19,5.58,1.25,24,1
SB000035,STU00004,2026-02-07,1.34,8.53,1.93,1.31,0.31,38,5
SB000036,STU00004,2026-01-03,2.75,5.62,3.22,5.24,0.63,19,9
SB000037,STU00004,2026-04-25,2.17,7.77,2.1,5.05,0.49,31,1
SB000038,STU00004,2026-02-09,1.35,8.59,0.97,5.76,0.56,24,3
SB000039,STU00004,2026-06-29,4.46,7.74,0.95,5.11,3.04,13,8
SB000040,STU00004,2026-03-06,2.45,5.79,3.72,4.54,2.13,47,6
SB000041,STU00005,2026-03-12,4.57,6.75,0.15,5.07,4.42,37,3
SB000042,STU00005,2026-05-31,4.89,6.47,2.22,1.73,1.42,19,5
SB000043,STU00005,2026-04-26,1.93,5.36,1.64,1.62,3.54,24,3
SB000044,STU00005,2026-03-15,5.8,6.45,2.55,3.9,3.59,23,3
SB000045,STU00005,2026-03-30,4.24,6.78,1.98,4.1,4.0,37,6
SB000046,STU00005,2026-05-13,3.72,6.5,3.36,4.85,3.06,28,3
SB000047,STU00005,2026-01-31,2.62,6.56,4.28,2.39,0.16,37,5
SB000048,STU00005,2026-05-14,1.32,7.48,4.28,5.73,4.01,8,7
SB000049,STU00005,2026-01-04,3.88,7.06,0.29,5.4,0.41,15,3
SB000050,STU00005,2026-02-21,3.92,8.53,3.45,0.52,1.9,43,7
