student_id,assignment_completion_percentage,avg_assignment_completion,avg_assignment_score,submitted_assignments,total_assignments
STU00001,62.12,62.12,46.33,30,50
STU00002,54.22,54.22,67.03,28,51
STU00003,71.36,71.36,66.02,33,47
STU00004,69.8,69.8,61.21,36,53
STU00005,47.36,47.36,87.02,22,48
STU00006,63.74,63.74,61.57,32,51
STU00007,60.45,60.45,69.38,27,47
STU00008,60.23,60.23,57.63,30,50
STU00009,71.61,71.61,71.03,35,49
STU00010,78.22,78.22,71.77,37,47
STU00011,78.83,78.83,71.75,38,48
STU00012,76.21,76.21,60.9,36,47
STU00013,74.09,74.09,68.52,37,52
STU00014,73.52,73.52,68.66,39,52
STU00015,75.45,75.45,62.91,40,54
STU00016,71.94,71.94,60.25,37,51
STU00017,41.82,41.82,50.91,21,51
STU00018,72.78,72.78,62.76,34,48
STU00019,68.17,68.17,65.3,32,46
STU00020,68.89,68.89,68.28,35,51
STU00021,82.44,82.44,64.68,44,52
STU00022,83.88,83.88,73.83,45,53
STU00023,76.45,76.45,73.26,34,45
STU00024,71.23,71.23,65.98,38,53
STU00025,56.36,56.36,72.87,29,52
STU00026,49.52,49.52,59.38,26,52
STU00027,60.13,60.13,49.31,30,51
STU00028,68.67,68.67,64.16,33,48
STU00029,53.56,53.56,87.17,29,53
STU00030,62.22,62.22,53.42,33,50
STU00031,73.52,73.52,68.42,38,52
STU00032,81.67,81.67,56.69,34,42
STU00033,66.14,66.14,73.5,30,46
STU00034,48.23,48.23,78.93,26,53
STU00035,82.87,82.87,67.43,43,52
STU00036,71.72,71.72,70.94,34,50
STU00037,64.55,64.55,61.63,31,47
STU00038,56.57,56.57,64.82,26,48
STU00039,67.06,67.06,60.21,30,45
STU00040,85.88,85.88,67.88,46,54
STU00041,82.05,82.05,72.88,44,54
STU00042,49.4,49.4,62.23,24,50
STU00043,64.58,64.58,74.41,30,49
STU00044,74.33,74.33,58.17,40,53
STU00045,65.3,65.3,86.25,34,52
STU00046,92.88,92.88,71.32,52,56
STU00047,68.41,68.41,63.91,34,51
STU00048,69.91,69.91,62.12,38,53
STU00049,66.97,66.97,51.96,33,49
STU00050,82.2,82.2,71.2,41,51
STU00051,55.56,55.56,76.17,28,51
STU00052,78.73,78.73,77.25,41,51
STU00053,62.48,62.48,69.8,32,52
STU00054,70.23,70.23,65.7,31,44
STU00055,65.39,65.39,79.63,36,55
STU00056,81.33,81.33,64.16,40,50
STU00057,77.5,77.5,63.59,35,45
STU00058,65.73,65.73,49.52,33,51
STU00059,65.78,65.78,72.96,36,55
STU00060,53.23,53.23,69.6,24,48
STU00061,57.78,57.78,67.38,27,46
STU00062,69.97,69.97,64.33,32,46
STU00063,68.78,68.78,61.3,38,55
STU00064,52.07,52.07,62.83,25,51
STU00065,72.63,72.63,69.87,35,49
STU00066,70.83,70.83,63.72,33,48
STU00067,57.95,57.95,64.98,30,52
STU00068,56.97,56.97,64.86,32,55
STU00069,75.03,75.03,63.47,38,51
STU00070,60.79,60.79,59.75,31,49
STU00071,54.02,54.02,53.53,27,51
STU00072,49.53,49.53,77.73,26,54
STU00073,70.0,70.0,64.63,32,46
STU00074,63.34,63.34,67.32,30,50
STU00075,76.21,76.21,69.2,36,48
STU00076,54.22,54.22,59.68,28,53
STU00077,52.67,52.67,80.32,26,50
STU00078,70.67,70.67,60.5,38,53
STU00079,71.1,71.1,69.82,33,46
STU00080,85.61,85.61,56.55,41,48
STU00081,60.5,60.5,76.05,31,52
STU00082,56.7,56.7,69.25,29,51
STU00083,73.13,73.13,69.01,37,52
STU00084,62.74,62.74,72.15,30,48
STU00085,73.66,73.66,63.45,36,49
STU00086,72.44,72.44,66.76,34,47
STU00087,64.83,64.83,66.54,32,50
STU00088,76.69,76.69,73.09,35,46
STU00089,70.0,70.0,78.56,36,54
STU00090,57.71,57.71,69.65,29,52
STU00091,73.17,73.17,59.52,38,52
