student_id,avg_attendance,attended_classes,total_classes
STU00001,77.67,164,212
STU00002,68.97,139,199
STU00003,74.06,146,200
STU00004,73.78,159,214
STU00005,71.26,158,225
STU00006,81.33,175,213
STU00007,83.26,169,201
STU00008,79.14,177,224
STU00009,84.36,171,202
STU00010,90.32,202,224
STU00011,78.41,158,204
STU00012,79.14,159,201
STU00013,69.63,153,220
STU00014,68.94,142,206
STU00015,67.48,141,208
STU00016,82.67,170,207
STU00017,63.94,141,218
STU00018,74.67,160,218
STU00019,77.57,160,208
STU00020,72.14,145,202
STU00021,70.76,149,209
STU00022,75.43,159,211
STU00023,84.81,171,203
STU00024,68.39,151,222
STU00025,66.65,144,217
STU00026,79.95,176,219
STU00027,82.32,176,212
STU00028,74.95,151,208
STU00029,74.33,156,212
STU00030,72.12,143,202
STU00031,71.21,153,217
STU00032,79.43,175,222
STU00033,70.2,144,206
STU00034,76.87,161,211
STU00035,78.4,172,217
STU00036,84.66,167,195
STU00037,66.05,139,210
STU00038,79.63,164,208
STU00039,70.93,142,199
STU00040,67.79,152,225
STU00041,63.63,132,207
STU00042,83.2,186,224
STU00043,73.5,161,217
STU00044,72.58,162,223
STU00045,63.25,134,212
STU00046,73.35,146,202
STU00047,79.42,173,218
STU00048,76.25,170,221
STU00049,84.49,178,207
STU00050,68.17,149,217
STU00051,64.65,136,209
STU00052,76.25,151,197
STU00053,78.9,160,206
STU00054,80.91,174,215
STU00055,83.99,173,207
STU00056,76.54,180,234
STU00057,70.79,139,195
STU00058,88.07,192,218
STU00059,84.5,179,209
STU00060,69.93,146,209
STU00061,76.23,158,211
STU00062,70.31,146,205
STU00063,69.82,153,224
STU00064,71.75,168,230
STU00065,66.8,137,208
STU00066,74.51,155,205
STU00067,77.14,173,223
STU00068,73.46,167,226
STU00069,91.7,184,201
STU00070,81.04,165,205
STU00071,82.16,172,213
STU00072,69.33,155,228
STU00073,78.44,165,211
STU00074,78.25,155,200
STU00075,67.83,147,214
STU00076,73.26,158,214
STU00077,80.38,168,211
STU00078,71.13,144,200
STU00079,71.55,149,210
STU00080,78.57,143,182
STU00081,87.94,182,207
STU00082,84.26,170,204
STU00083,76.56,158,206
STU00084,70.48,149,211
STU00085,70.7,153,214
STU00086,82.43,165,200
STU00087,77.33,159,205
STU00088,77.6,162,211
STU00089,88.39,179,204
STU00090,80.95,160,200
STU00091,84.16,176,209
STU00092,73.5,150,203
STU00093,71.8,149,212
STU00094,74.46,154,207
STU00095,77.98,165,216
STU00096,72.57,142,195
STU00097,77.12,165,215
STU00098,68.37,147,212
STU00099,82.93,180,218
STU00100,73.54,162,219
STU00101,90.88,179,197
STU00102,83.26,171,203
STU00103,90.09,185,204
STU00104,83.3,165,197
STU00105,80.66,181,227
STU00106,70.8,140,199
STU00107,78.19,174,222
STU00108,76.56,150,195
STU00109,78.83,151,190
STU00110,56.84,132,231
STU00111,73.63,143,195
STU00112,76.65,164,218
STU00113,80.16,179,221
STU00114,82.66,172,209
STU00115,86.74,186,211
STU00116,68.95,158,232
STU00117,85.34,163,191
STU00118,72.83,153,209
STU00119,59.9,128,216
STU00120,69.52,165,237
STU00121,75.0,156,209
STU00122,69.44,153,220
STU00123,81.06,173,215
STU00124,71.67,158,219
STU00125,82.61,162,199
STU00126,84.87,187,221
STU00127,67.77,138,201
STU00128,73.73,151,204
STU00129,76.77,163,212
STU00130,71.95,151,207
STU00131,73.65,161,219
STU00132,75.28,153,207
STU00133,67.62,133,198
STU00134,76.79,169,221
STU00135,64.52,133,206
STU00136,87.51,195,223
STU00137,67.78,150,222
STU00138,83.53,162,193
STU00139,77.79,171,221
STU00140,78.34,174,221
STU00141,73.85,161,217
STU00142,69.28,145,209
STU00143,74.85,156,209
STU00144,87.02,190,216
STU00145,74.62,161,216
STU00146,69.96,147,211
STU00147,81.43,159,193
STU00148,81.22,173,213
STU00149,62.99,148,234
STU00150,76.93,181,235
STU00151,77.41,161,209
STU00152,69.68,147,206
STU00153,75.26,177,237
STU00154,68.73,150,219
STU00155,80.27,182,226
STU00156,68.93,142,204
STU00157,84.56,180,215
STU00158,73.92,155,209
STU00159,96.66,188,195
STU00160,65.15,132,201
STU00161,60.94,136,225
STU00162,86.47,184,214
STU00163,81.65,176,219
STU00164,74.04,168,225
STU00165,78.52,160,203
STU00166,71.7,158,222
STU00167,68.85,152,219
