student_id,total_logins,total_video_minutes,total_resources_viewed,total_quiz_attempts,total_forum_posts,total_session_minutes
STU00001,87,1886,182,45,53,2726
STU00002,71,1949,103,50,51,2904
STU00003,76,1496,177,39,41,2117
STU00004,83,1986,187,46,46,2441
STU00005,82,1915,164,53,50,2296
STU00006,85,1859,183,48,43,1907
STU00007,80,2466,121,44,59,2397
STU00008,89,2000,168,43,53,2516
STU00009,67,1659,176,49,45,2409
STU00010,80,1333,150,43,55,1981
STU00011,72,1584,167,62,46,2296
STU00012,65,2126,142,53,42,2130
STU00013,81,1641,154,54,54,2265
STU00014,73,1757,155,51,54,2098
STU00015,89,1807,178,51,40,2473
STU00016,73,2014,114,54,54,2402
STU00017,60,2070,148,42,48,2128
STU00018,84,1605,185,44,62,1903
STU00019,64,1920,143,64,52,2426
STU00020,98,1543,163,55,47,2384
STU00021,80,1834,126,44,50,2412
STU00022,85,2033,128,55,52,2069
STU00023,75,1904,166,45,44,2601
STU00024,62,1694,159,55,44,2057
STU00025,86,1837,178,54,45,2649
STU00026,71,1343,129,57,50,1984
STU00027,80,1536,152,44,39,2468
STU00028,72,2315,182,54,50,2744
STU00029,74,2148,178,29,44,2605
STU00030,72,1608,184,41,59,2085
STU00031,91,1605,177,44,57,2182
STU00032,84,2077,170,53,54,2546
STU00033,81,1956,107,56,55,2334
STU00034,58,1230,119,59,46,2509
STU00035,87,1799,126,47,54,2153
STU00036,81,1790,162,56,51,2654
STU00037,92,1969,155,52,56,2481
STU00038,60,1729,136,42,64,1978
STU00039,74,1970,125,72,56,2357
STU00040,74,1848,180,40,46,2552
STU00041,77,2044,138,45,46,2103
STU00042,74,1978,125,54,48,3019
STU00043,71,2303,133,45,45,2709
STU00044,91,1795,118,51,57,2410
STU00045,77,1962,155,40,57,2470
STU00046,79,1805,137,46,37,2458
STU00047,78,1487,145,58,42,2181
STU00048,83,1891,176,52,51,2531
STU00049,84,1721,132,58,54,2182
STU00050,69,1844,158,55,50,2307
STU00051,89,2319,175,60,62,2496
STU00052,95,1971,185,50,60,2204
STU00053,89,1917,131,53,33,2933
STU00054,88,1869,137,50,60,2826
STU00055,70,1990,156,42,59,2903
STU00056,75,1869,154,47,64,2986
STU00057,80,1768,203,50,48,2358
STU00058,82,2089,151,53,57,2850
STU00059,82,1814,168,51,52,1920
STU00060,72,1902,152,46,42,2150
STU00061,74,2036,139,68,41,2465
STU00062,71,1665,162,49,55,2416
STU00063,81,1893,132,34,53,2906
STU00064,73,2046,174,52,40,2671
