student_id,internal_marks,avg_internal_marks,avg_midterm_marks,avg_final_exam_marks,avg_total_marks,previous_gpa
STU00001,46.54,29.2,22.8,23.2,75.2,5.9
STU00002,56.28,28.8,20.6,24.4,73.8,9.71
STU00003,54.3,30.2,19.6,27.2,77.0,6.97
STU00004,52.99,29.6,22.2,25.4,77.2,5.34
STU00005,68.84,23.2,20.2,28.6,72.0,5.64
STU00006,74.14,32.8,21.6,25.2,79.6,7.17
STU00007,61.72,29.4,19.8,23.0,72.2,9.76
STU00008,59.36,30.8,22.0,23.4,76.2,4.9
STU00009,40.77,28.6,25.2,22.8,76.6,6.09
STU00010,53.7,31.6,20.6,24.0,76.2,6.03
STU00011,56.03,33.4,20.4,28.2,82.0,6.36
STU00012,51.11,27.0,23.6,24.0,74.6,5.52
STU00013,53.02,29.4,18.6,25.6,73.6,9.21
STU00014,56.48,24.0,19.8,24.2,68.0,9.46
STU00015,53.79,33.0,24.6,21.6,79.2,5.13
STU00016,54.02,32.0,25.8,24.4,82.2,7.42
STU00017,34.67,29.4,23.4,23.4,76.2,5.8
STU00018,71.05,28.4,21.8,24.4,74.6,8.96
STU00019,61.29,36.0,20.4,23.6,80.0,9.95
STU00020,60.3,30.8,21.4,25.4,77.6,8.92
STU00021,78.06,29.4,22.2,24.0,75.6,4.78
STU00022,42.79,27.2,22.4,25.6,75.2,8.26
STU00023,65.63,34.6,22.8,22.6,80.0,9.91
STU00024,58.9,30.2,22.6,25.0,77.8,5.01
STU00025,50.88,30.0,23.8,24.8,78.6,8.0
STU00026,60.61,28.6,23.8,25.2,77.6,8.07
STU00027,54.92,35.8,20.8,25.0,81.6,8.95
STU00028,55.77,28.4,25.0,24.4,77.8,9.12
STU00029,59.87,33.8,23.8,26.2,83.8,8.07
STU00030,32.99,30.0,19.2,23.8,73.0,6.75
STU00031,74.4,29.4,19.8,24.6,73.8,9.58
STU00032,52.98,23.4,23.0,23.6,70.0,6.23
STU00033,47.27,32.4,20.4,23.6,76.4,8.05
STU00034,36.04,33.8,19.6,24.8,78.2,6.87
STU00035,64.28,31.8,23.4,27.2,82.4,7.0
STU00036,44.46,26.4,20.0,26.4,72.8,8.77
STU00037,62.78,30.0,23.0,24.0,77.0,9.33
STU00038,67.65,32.2,25.8,23.8,81.8,8.8
STU00039,62.6,29.2,22.2,26.4,77.8,8.54
STU00040,67.82,31.0,23.8,25.6,80.4,8.97
STU00041,55.3,32.2,23.8,24.6,80.6,7.7
STU00042,49.41,28.8,23.0,24.0,75.8,5.53
STU00043,51.12,34.4,21.8,23.8,80.0,6.64
STU00044,60.67,34.0,22.2,26.8,83.0,9.69
STU00045,47.85,30.8,20.4,26.0,77.2,6.77
STU00046,38.26,28.4,22.8,23.6,74.8,7.04
STU00047,52.74,32.4,21.6,23.2,77.2,5.96
STU00048,65.18,30.4,21.8,26.8,79.0,6.98
STU00049,71.5,29.8,22.2,24.6,76.6,7.56
STU00050,58.48,27.8,20.8,23.0,71.6,6.71
STU00051,73.9,32.0,21.4,26.8,80.2,7.0
STU00052,51.33,27.8,24.2,23.6,75.6,6.54
STU00053,57.55,32.4,21.8,24.8,79.0,5.45
STU00054,67.01,32.8,20.6,22.6,76.0,7.92
STU00055,59.83,27.6,22.2,25.8,75.6,7.03
STU00056,44.98,29.6,24.4,24.6,78.6,8.43
STU00057,51.42,29.6,22.4,25.4,77.4,5.64
STU00058,55.14,26.2,22.2,22.4,70.8,6.7
STU00059,52.97,30.6,22.4,23.2,76.2,8.48
STU00060,53.79,30.6,23.2,23.4,77.2,5.19
STU00061,47.01,34.4,17.2,25.0,76.6,5.4
STU00062,58.15,26.2,20.0,24.4,70.6,7.52
STU00063,75.8,33.2,25.2,26.6,85.0,7.59
STU00064,64.49,28.0,23.8,26.0,77.8,9.41
STU00065,59.72,30.8,23.2,24.2,78.2,6.52
STU00066,46.35,24.8,21.8,25.6,72.2,6.61
STU00067,32.19,25.2,25.0,26.2,76.4,5.81
STU00068,43.32,30.2,25.2,26.2,81.6,7.24
STU00069,43.46,28.8,23.2,25.0,77.0,6.28
STU00070,57.78,28.6,23.4,23.8,75.8,8.96
STU00071,47.1,26.2,21.0,26.2,73.4,7.24
STU00072,48.77,32.6,22.4,25.8,80.8,6.7
STU00073,49.36,27.6,25.6,25.0,78.2,5.7
STU00074,80.75,31.2,23.2,23.0,77.4,9.65
STU00075,64.0,30.8,20.2,25.4,76.4,7.35
STU00076,52.94,27.4,24.0,26.0,77.4,7.96
STU00077,54.59,30.4,19.8,25.2,75.4,7.61
STU00078,46.7,33.4,21.4,24.8,79.6,5.67
STU00079,80.21,32.6,23.4,26.2,82.2,9.99
STU00080,63.24,27.2,22.8,24.8,74.8,7.57
STU00081,32.84,29.8,23.2,25.2,78.2,4.92
STU00082,56.83,29.4,19.0,25.6,74.0,6.5
STU00083,43.54,31.2,22.2,22.6,76.0,9.98
STU00084,51.49,30.0,23.6,24.4,78.0,7.8
STU00085,57.62,27.8,25.2,27.6,80.6,9.81
STU00086,60.63,29.0,22.4,24.6,76.0,4.88
STU00087,59.08,28.0,19.6,23.0,70.6,5.91
