student_id,avg_attendance,attended_classes,total_classes,assignment_completion_percentage,avg_assignment_completion,avg_assignment_score,submitted_assignments,total_assignments,internal_marks,avg_internal_marks,avg_midterm_marks,avg_final_exam_marks,avg_total_marks,previous_gpa,study_hours_per_day,total_study_hours,total_sleep_hours,total_library_hours,total_self_study_hours,total_distraction_hours,total_practice_questions,avg_study_consistency,total_logins,total_video_minutes,total_resources_viewed,total_quiz_attempts,total_forum_posts,total_session_minutes,risk_level
STU00001,77.67,164,212,62.12,62.12,46.33,30,50,46.54,29.2,22.8,23.2,75.2,5.9,4.34,41.52,62.66,26.54,28.0,16.84,202,5.9,87,1886,182,45,53,2726,High
STU00002,68.97,139,199,54.22,54.22,67.03,28,51,56.28,28.8,20.6,24.4,73.8,9.71,3.83,43.62,70.65,22.97,34.34,20.85,220,5.3,71,1949,103,50,51,2904,Low
STU00003,74.06,146,200,71.36,71.36,66.02,33,47,54.3,30.2,19.6,27.2,77.0,6.97,4.2,36.64,70.54,24.76,30.6,27.91,269,4.1,76,1496,177,39,41,2117,Medium
STU00004,73.78,159,214,69.8,69.8,61.21,36,53,52.99,29.6,22.2,25.4,77.2,5.34,3.92,34.62,65.85,18.85,43.69,18.16,285,4.8,83,1986,187,46,46,2441,High
STU00005,71.26,158,225,47.36,47.36,87.02,22,48,68.84,23.2,20.2,28.6,72.0,5.64,5.68,36.89,67.94,24.2,35.31,26.51,271,4.5,82,1915,164,53,50,2296,Medium
STU00006,81.33,175,213,63.74,63.74,61.57,32,51,74.14,32.8,21.6,25.2,79.6,7.17,6.35,43.53,65.19,23.03,32.13,21.89,199,5.1,85,1859,183,48,43,1907,Low
STU00007,83.26,169,201,60.45,60.45,69.38,27,47,61.72,29.4,19.8,23.0,72.2,9.76,2.15,40.89,71.58,24.1,40.49,31.57,336,5.4,80,2466,121,44,59,2397,Low
STU00008,79.14,177,224,60.23,60.23,57.63,30,50,59.36,30.8,22.0,23.4,76.2,4.9,7.82,34.17,69.21,21.13,42.21,35.28,191,6.2,89,2000,168,43,53,2516,Medium
STU00009,84.36,171,202,71.61,71.61,71.03,35,49,40.77,28.6,25.2,22.8,76.6,6.09,2.22,40.29,62.7,24.75,23.98,24.98,281,4.1,67,1659,176,49,45,2409,High
STU00010,90.32,202,224,78.22,78.22,71.77,37,47,53.7,31.6,20.6,24.0,76.2,6.03,5.5,45.79,68.48,24.51,22.64,31.1,283,5.7,80,1333,150,43,55,1981,High
