student_id,total_study_hours,total_sleep_hours,total_library_hours,total_self_study_hours,total_distraction_hours,total_practice_questions,avg_study_consistency
STU00001,41.52,62.66,26.54,28.0,16.84,202,5.9
STU00002,43.62,70.65,22.97,34.34,20.85,220,5.3
STU00003,36.64,70.54,24.76,30.6,27.91,269,4.1
STU00004,34.62,65.85,18.85,43.69,18.16,285,4.8
STU00005,36.89,67.94,24.2,35.31,26.51,271,4.5
STU00006,43.53,65.19,23.03,32.13,21.89,199,5.1
STU00007,40.89,71.58,24.1,40.49,31.57,336,5.4
STU00008,34.17,69.21,21.13,42.21,35.28,191,6.2
STU00009,40.29,62.7,24.75,23.98,24.98,281,4.1
STU00010,45.79,68.48,24.51,22.64,31.1,283,5.7
STU00011,43.38,64.44,29.77,38.96,17.8,275,5.5
STU00012,41.58,71.86,30.29,28.91,20.46,280,6.4
STU00013,30.22,65.18,21.31,33.93,26.01,302,4.5
STU00014,37.28,72.1,24.59,34.91,21.32,202,4.3
STU00015,44.57,68.77,26.73,24.95,32.84,234,7.8
STU00016,38.58,65.62,24.3,41.68,20.77,139,3.1
STU00017,41.22,70.77,30.39,42.26,26.15,203,7.1
STU00018,48.24,64.47,34.85,35.3,26.04,268,6.5
STU00019,46.29,66.94,23.55,31.35,24.28,301,6.0
STU00020,38.22,65.8,24.28,34.49,28.57,337,4.4
STU00021,29.83,69.13,22.26,27.75,20.02,175,5.1
STU00022,37.08,71.09,22.2,38.08,24.36,167,5.1
STU00023,56.19,68.51,25.26,29.14,28.15,234,4.1
STU00024,44.08,71.11,27.03,25.93,17.16,215,3.6
STU00025,41.71,72.91,25.9,31.42,30.08,268,6.3
STU00026,44.89,68.26,19.58,28.01,23.24,254,4.7
STU00027,41.87,64.9,19.91,36.11,27.15,231,6.3
STU00028,45.69,64.28,30.84,33.67,21.56,310,5.1
STU00029,46.67,75.86,26.24,25.91,30.75,345,5.9
STU00030,33.95,63.29,21.59,31.2,25.34,277,5.2
STU00031,39.73,57.55,29.43,42.05,25.25,257,5.8
STU00032,34.99,72.91,24.9,39.6,23.74,258,6.1
STU00033,49.4,65.99,19.43,34.38,33.67,277,5.5
STU00034,36.26,69.57,27.89,26.47,27.36,225,6.1
STU00035,38.0,70.06,23.26,39.2,22.49,327,5.4
STU00036,46.89,68.76,27.98,29.01,30.05,253,4.3
STU00037,42.79,61.49,19.86,29.94,19.65,222,4.4
STU00038,35.19,71.27,27.23,27.63,18.29,163,4.3
STU00039,41.98,61.94,26.31,38.05,19.34,239,6.3
STU00040,56.01,68.77,26.4,42.68,16.36,229,5.5
STU00041,43.37,63.35,24.51,29.81,21.48,271,4.2
STU00042,58.58,64.39,23.46,28.87,31.1,281,6.2
STU00043,44.98,66.7,24.0,25.91,30.11,257,5.6
STU00044,39.19,70.56,21.54,29.35,30.5,371,4.0
STU00045,47.49,61.38,22.61,46.09,24.04,220,5.9
STU00046,35.56,70.58,33.16,29.4,29.71,181,5.2
STU00047,36.48,73.92,23.94,31.45,21.56,294,5.1
STU00048,55.11,65.66,13.99,38.63,29.29,306,4.7
STU00049,54.82,72.64,26.56,29.18,23.24,276,6.3
STU00050,32.37,60.83,25.43,37.4,27.27,278,4.7
STU00051,40.59,67.95,23.09,37.76,33.22,308,3.7
STU00052,52.26,69.78,28.64,33.61,21.58,217,4.5
STU00053,42.33,65.63,19.73,27.49,21.67,266,4.0
STU00054,50.73,66.33,23.46,38.4,29.18,265,7.0
STU00055,41.16,63.43,27.31,30.2,22.34,252,5.5
STU00056,36.14,62.84,21.53,32.33,29.31,353,5.3
STU00057,53.29,74.27,26.66,36.22,28.29,234,6.3
STU00058,37.8,66.14,26.55,28.29,28.4,175,5.1
STU00059,35.58,75.39,37.5,34.07,25.31,173,5.1
STU00060,44.34,75.57,26.71,23.07,23.21,129,6.5
STU00061,51.5,67.11,19.97,35.95,27.77,267,4.1
STU00062,48.94,70.71,26.95,39.41,30.74,208,6.5
STU00063,42.98,61.64,16.14,46.46,32.41,324,5.9
STU00064,52.94,66.73,29.48,32.39,23.28,248,6.0
STU00065,52.92,68.94,18.6,43.23,20.3,230,5.6
STU00066,48.64,75.51,17.97,35.22,19.93,207,5.9
STU00067,49.17,63.53,27.63,31.06,26.53,192,6.3
STU00068,35.0,66.03,36.38,35.46,28.27,242,5.5
STU00069,56.63,73.83,22.38,26.75,29.2,281,6.6
